Date,Timepoint,Plug.ID,Genotype,Colormorph,Treatment,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
06/09/17,0,174,B1,Red,Shallow,254.313,223.078,88.128,107.127,47.465,16.108,
06/09/17,0,144,B1,Red,Shade,254.313,223.078,88.128,103.678,37.445,7.144,
06/09/17,0,170,B2,Red,Shallow,255,212.175,94.637,158.379,99.39,48.525,Evidence of paling already
06/09/17,0,183,B2,Red,Shade,255,212.175,94.637,158.514,106.127,54.614,Evidence of paling already
06/09/17,0,26,B3,Red,Shallow,232.512,197.473,86.453,117.822,63.888,20.444,
06/09/17,0,7,B3,Red,Shade,232.512,197.473,86.453,113.286,62.886,21.756,
06/09/17,0,19,B4,Red,Shallow,254.941,209.789,87.277,156.401,83.386,21.596,
06/09/17,0,2,B4,Red,Shade,254.941,209.789,87.277,145.429,69.517,13.934,
06/09/17,0,198,B5,Red,Shallow,199.534,199.417,77.697,117.903,67.478,20.689,
06/09/17,0,158,B5,Red,Shade,199.534,199.417,77.697,123.297,71.713,23.576,
06/09/17,0,166,B6,Red,Shallow,254.582,215.164,91.533,159.263,87.537,31.281,
06/09/17,0,65,B6,Red,Shade,254.582,215.164,91.533,189.722,126.666,70.696,
06/09/17,0,20,O7,Orange,Shallow,251.789,208.997,90.169,165.745,96.18,17.917,
06/09/17,0,290,O7,Orange,Shade,251.789,208.997,90.169,171.143,103.447,29.208,
06/09/17,0,163,O8,Orange,Shallow,243.953,207.122,84.915,144.817,74.48,11.087,
06/09/17,0,58,O8,Orange,Shade,243.953,207.122,84.915,163.864,96.339,32.551,
06/09/17,0,281,O9,Orange,Shallow,248.177,209.071,88.313,149.747,87.389,34.431,
06/09/17,0,53,O9,Orange,Shade,248.177,209.071,88.313,180.314,113.473,53.271,Evidence of paling already
06/09/17,0,136,O10,Orange,Shallow,254.818,209.858,85.688,165.246,88.161,14.311,
06/09/17,0,287,O10,Orange,Shade,254.818,209.858,85.688,161.231,85.555,17.183,
06/09/17,0,101,O11,Orange,Shallow,254.981,212.363,87.818,160.183,82.747,12.578,
06/09/17,0,101.1,O11,Orange,Shade,254.981,212.363,87.818,161.735,87.622,21.943,
06/09/17,0,164,O12,Orange,Shallow,254.732,209.155,86.127,150.35,105.64,50.05,
06/09/17,0,215,O12,Orange,Shade,254.732,209.155,86.127,143.984,88.17,25.739,
06/09/17,0,154,O13,Orange,Shallow,252.649,210.724,83.67,141.22,72.355,14.953,
06/09/17,0,202,O13,Orange,Shade,252.649,210.724,83.67,155.922,86.596,26.927,
06/23/17,2,174,B1,Red,Shallow,254.997,215.548,94.15,151.453,107.915,47.54,
06/23/17,2,144,B1,Red,Shade,254.997,215.548,94.15,104.802,49.169,6.378,
06/23/17,2,170,B2,Red,Shallow,254.947,216.41,98.151,178.459,138.217,89.003,
06/23/17,2,183,B2,Red,Shade,254.947,216.41,98.151,131.578,75.823,31.567,
06/23/17,2,26,B3,Red,Shallow,254.997,228.618,105.675,186.094,137.575,86.406,
06/23/17,2,7,B3,Red,Shade,254.997,228.618,105.675,121.079,40.538,8.47,
06/23/17,2,19,B4,Red,Shallow,255,229.169,105.909,192.48,143.048,68.986,
06/23/17,2,2,B4,Red,Shade,255,229.169,105.909,122.277,39.954,4.121,
06/23/17,2,198,B5,Red,Shallow,251.356,215.94,98.485,170.358,146.139,109.598,
06/23/17,2,158,B5,Red,Shade,251.356,215.94,98.485,99.114,36.33,5.4,
06/23/17,2,166,B6,Red,Shallow,254.998,212.437,97.557,186.01,144.253,104.597,
06/23/17,2,65,B6,Red,Shade,254.998,212.437,97.557,172.164,123.275,80.05,
06/23/17,2,20,O7,Orange,Shallow,254.994,216.34,96.13,170.377,104.785,24.306,
06/23/17,2,290,O7,Orange,Shade,254.994,216.34,96.13,146.028,77.529,13.587,
06/23/17,2,163,O8,Orange,Shallow,254.986,210.536,99.223,188.053,124.787,43.856,
06/23/17,2,58,O8,Orange,Shade,254.986,210.536,99.223,155.543,84.024,18.935,
06/23/17,2,281,O9,Orange,Shallow,217.306,189.926,106.072,123.592,77.877,29.089,
06/23/17,2,53,O9,Orange,Shade,217.306,189.926,106.072,116.541,47.911,7.285,
06/23/17,2,136,O10,Orange,Shallow,254.984,218.301,97.016,194.872,125.77,32.785,
06/23/17,2,287,O10,Orange,Shade,254.984,218.301,97.016,149.681,73.528,6.693,
06/23/17,2,101,O11,Orange,Shallow,255,227.715,101.465,193.094,134.917,58.68,
06/23/17,2,101.1,O11,Orange,Shade,255,227.715,101.465,161.48,91.2,16.373,
06/23/17,2,164,O12,Orange,Shallow,254.999,215.682,106.323,162.721,125.717,81.86,
06/23/17,2,215,O12,Orange,Shade,254.999,215.682,106.323,135.087,76.562,12.591,
06/23/17,2,154,O13,Orange,Shallow,253.641,221.916,101.064,177.167,111.889,34.216,
06/23/17,2,202,O13,Orange,Shade,253.641,221.916,101.064,135.356,54.558,5.85,
07/07/17,4,174,B1,Red,Shallow,255,216.521,100.043,174.627,128.083,78.466,
07/07/17,4,144,B1,Red,Shade,255,216.521,100.043,107.172,65.186,24.054,
07/07/17,4,170,B2,Red,Shallow,254.996,213.509,96.183,192.404,149.664,113.458,
07/07/17,4,183,B2,Red,Shade,254.996,213.509,96.183,94.022,35.86,5.371,
07/07/17,4,26,B3,Red,Shallow,255,217.438,98.928,200.281,153.662,109.383,
07/07/17,4,7,B3,Red,Shade,255,217.438,98.928,105.322,49.205,5.577,
07/07/17,4,19,B4,Red,Shallow,254.944,226.643,99.233,215.79,174.72,125.729,
07/07/17,4,2,B4,Red,Shade,254.944,226.643,99.233,117.145,58.64,4.806,
07/07/17,4,198,B5,Red,Shallow,253.848,228.75,100.739,217.758,181.208,138.032,
07/07/17,4,158,B5,Red,Shade,253.848,228.75,100.739,119.611,58.222,10.667,
07/07/17,4,166,B6,Red,Shallow,254.78,231.564,96.066,226.744,178.661,122.052,
07/07/17,4,65,B6,Red,Shade,254.78,231.564,96.066,173.839,117.839,58.965,
07/07/17,4,20,O7,Orange,Shallow,255,235.397,95.966,202.231,138.121,44.835,
07/07/17,4,290,O7,Orange,Shade,255,235.397,95.966,150.129,84.776,10.042,
07/07/17,4,163,O8,Orange,Shallow,254.994,217.578,95.474,206.889,129.514,45.068,
