Logger #,Treatment,Date,Time,Raw Value,Calibrated Value ,(umol/min)
6383,Control,11/29/2017,16:31:00,5,0.6095,
6383,Control,11/29/2017,16:32:00,1,0.1219,
6383,Control,11/29/2017,16:33:00,0,0,
6383,Control,11/29/2017,16:34:00,0,0,
6383,Control,11/29/2017,16:35:00,0,0,
6383,Control,11/29/2017,16:36:00,3,0.3657,
6383,Control,11/29/2017,16:37:00,6,0.7314,
6383,Control,11/29/2017,16:38:00,10,1.219,
6383,Control,11/29/2017,16:39:00,12,1.4628,
6383,Control,11/29/2017,16:40:00,13,1.5847,
6383,Control,11/29/2017,16:41:00,15,1.8285,
6383,Control,11/29/2017,16:42:00,15,1.8285,
6383,Control,11/29/2017,16:43:00,16,1.9504,
6383,Control,11/29/2017,16:44:00,17,2.0723,
6383,Control,11/29/2017,16:45:00,17,2.0723,
6383,Control,11/29/2017,16:46:00,18,2.1942,
6383,Control,11/29/2017,16:47:00,19,2.3161,
6383,Control,11/29/2017,16:48:00,21,2.5599,
6383,Control,11/29/2017,16:49:00,23,2.8037,
6383,Control,11/29/2017,16:50:00,25,3.0475,
6383,Control,11/29/2017,16:51:00,24,2.9256,
6383,Control,11/29/2017,16:52:00,22,2.6818,
6383,Control,11/29/2017,16:53:00,20,2.438,
6383,Control,11/29/2017,16:54:00,19,2.3161,
6383,Control,11/29/2017,16:55:00,18,2.1942,
6383,Control,11/29/2017,16:56:00,13,1.5847,
6383,Control,11/29/2017,16:57:00,10,1.219,
6383,Control,11/29/2017,16:58:00,7,0.8533,
6383,Control,11/29/2017,16:59:00,6,0.7314,
6383,Control,11/29/2017,17:00:00,5,0.6095,
6383,Control,11/29/2017,17:01:00,2,0.2438,
6383,Control,11/29/2017,17:02:00,0,0,
6383,Control,11/29/2017,17:03:00,2,0.2438,
6383,Control,11/29/2017,17:04:00,1,0.1219,
6383,Control,11/29/2017,17:05:00,0,0,
6383,Control,11/29/2017,17:06:00,0,0,
6383,Control,11/29/2017,17:07:00,0,0,
6383,Control,11/29/2017,17:08:00,0,0,
6383,Control,11/29/2017,17:09:00,0,0,
6383,Control,11/29/2017,17:10:00,0,0,
6383,Control,11/29/2017,17:11:00,0,0,
6383,Control,11/29/2017,17:12:00,0,0,
6383,Control,11/29/2017,17:13:00,0,0,
6383,Control,11/29/2017,17:14:00,0,0,
6383,Control,11/29/2017,17:15:00,0,0,
6383,Control,11/29/2017,17:16:00,0,0,
6383,Control,11/29/2017,17:17:00,0,0,
6383,Control,11/29/2017,17:18:00,0,0,
6383,Control,11/29/2017,17:19:00,0,0,
6383,Control,11/29/2017,17:20:00,0,0,
6383,Control,11/29/2017,17:21:00,0,0,
6383,Control,11/29/2017,17:22:00,0,0,
6383,Control,11/29/2017,17:23:00,0,0,
6383,Control,11/29/2017,17:24:00,0,0,
6383,Control,11/29/2017,17:25:00,0,0,
6383,Control,11/29/2017,17:26:00,0,0,
6383,Control,11/29/2017,17:27:00,0,0,
6383,Control,11/29/2017,17:28:00,0,0,
6383,Control,11/29/2017,17:29:00,0,0,
6383,Control,11/29/2017,17:30:00,0,0,
6383,Control,11/29/2017,17:31:00,0,0,
6383,Control,11/29/2017,17:32:00,0,0,
6383,Control,11/29/2017,17:33:00,0,0,
6383,Control,11/29/2017,17:34:00,0,0,
6383,Control,11/29/2017,17:35:00,0,0,
6383,Control,11/29/2017,17:36:00,0,0,
6383,Control,11/29/2017,17:37:00,0,0,
6383,Control,11/29/2017,17:38:00,0,0,
6383,Control,11/29/2017,17:39:00,0,0,
6383,Control,11/29/2017,17:40:00,0,0,
6383,Control,11/29/2017,17:41:00,0,0,
6383,Control,11/29/2017,17:42:00,0,0,
6383,Control,11/29/2017,17:43:00,0,0,
6383,Control,11/29/2017,17:44:00,0,0,
6383,Control,11/29/2017,17:45:00,0,0,
6383,Control,11/29/2017,17:46:00,0,0,
6383,Control,11/29/2017,17:47:00,0,0,
6383,Control,11/29/2017,17:48:00,0,0,
6383,Control,11/29/2017,17:49:00,0,0,
6383,Control,11/29/2017,17:50:00,0,0,
6383,Control,11/29/2017,17:51:00,0,0,
6383,Control,11/29/2017,17:52:00,0,0,
6383,Control,11/29/2017,17:53:00,0,0,
6383,Control,11/29/2017,17:54:00,0,0,
6383,Control,11/29/2017,17:55:00,0,0,
6383,Control,11/29/2017,17:56:00,0,0,
6383,Control,11/29/2017,17:57:00,0,0,
6383,Control,11/29/2017,17:58:00,0,0,
6383,Control,11/29/2017,17:59:00,0,0,
6383,Control,11/29/2017,18:00:00,0,0,
6383,Control,11/29/2017,18:01:00,0,0,
6383,Control,11/29/2017,18:02:00,0,0,
6383,Control,11/29/2017,18:03:00,0,0,
6383,Control,11/29/2017,18:04:00,0,0,
6383,Control,11/29/2017,18:05:00,0,0,
6383,Control,11/29/2017,18:06:00,0,0,
6383,Control,11/29/2017,18:07:00,0,0,
6383,Control,11/29/2017,18:08:00,0,0,
6383,Control,11/29/2017,18:09:00,0,0,
6383,Control,11/29/2017,18:10:00,0,0,
6383,Control,11/29/2017,18:11:00,0,0,
6383,Control,11/29/2017,18:12:00,0,0,
6383,Control,11/29/2017,18:13:00,0,0,
6383,Control,11/29/2017,18:14:00,0,0,
