timepoint,Time,colony.id,frag.id,Treatment,Colormorph,sym.density,protein.density,color.score,bleaching.score
06/09/17,1.00,B1,174,Shallow,Red,5542085.648,2.372500629,2.242010996,2.242010996
06/09/17,1.00,B1,144,Shade,Red,43895733.84,18.79123903,2.201390846,2.201390846
06/09/17,1.00,B2,170,Shallow,Red,13849904.73,10.56675303,0.56187524,0.56187524
06/09/17,1.00,B2,183,Shade,Red,3203685.186,2.44424426,-0.01750501,-0.01750501
06/09/17,1.00,B3,26,Shallow,Red,4091975.783,1.634225462,2.426341708,2.426341708
06/09/17,1.00,B3,7,Shade,Red,3875568.045,1.547798011,2.329720492,2.329720492
06/09/17,1.00,B4,19,Shallow,Red,1929253.886,1.635313384,2.34984108,2.34984108
06/09/17,1.00,B4,2,Shade,Red,5432661.821,4.604943214,2.668604252,2.668604252
06/09/17,1.00,B5,198,Shallow,Red,5451717.718,3.605385347,2.342855841,2.342855841
06/09/17,1.00,B5,158,Shade,Red,6586490.111,4.355844555,2.129917759,2.129917759
06/09/17,1.00,B6,166,Shallow,Red,1104961.184,2.024258351,1.861466818,1.861466818
06/09/17,1.00,B6,65,Shade,Red,1316506.265,2.411803093,-2.05152043,-2.05152043
06/09/17,1.00,O7,20,Shallow,Orange,2072255.867,2.837398434,2.187772182,2.187772182
06/09/17,1.00,O7,290,Shade,Orange,3183455.9,4.358888749,1.586011598,1.586011598
06/09/17,1.00,O8,163,Shallow,Orange,8346495.289,4.234976882,2.648519878,2.648519878
06/09/17,1.00,O8,58,Shade,Orange,11058966.72,5.61127357,1.386864949,1.386864949
06/09/17,1.00,O9,281,Shallow,Orange,7080833.23,2.973293689,1.565574332,1.565574332
06/09/17,1.00,O9,53,Shade,Orange,9170632.346,3.85081563,-0.524969184,-0.524969184
06/09/17,1.00,O10,136,Shallow,Orange,4211728.457,2.396555446,2.395412757,2.395412757
06/09/17,1.00,O10,287,Shade,Orange,9585779.204,5.454494893,2.42648588,2.42648588
06/09/17,1.00,O11,101,Shallow,Orange,3856234.062,2.413949482,2.534346429,2.534346429
06/09/17,1.00,O11,101.1,Shade,Orange,5550592.565,3.474594599,2.26988661,2.26988661
06/09/17,1.00,O12,164,Shallow,Orange,4615961.277,1.981631084,-0.041174715,-0.041174715
06/09/17,1.00,O12,215,Shade,Orange,4308687.783,1.849718646,2.095121501,2.095121501
06/09/17,1.00,O13,154,Shallow,Orange,8078989.078,2.693122699,2.638192421,2.638192421
06/09/17,1.00,O13,202,Shade,Orange,23009603.44,7.670227638,1.978089013,1.978089013
06/23/17,14.00,B1,174,Shallow,Red,2461708.193,2.030980576,0.548760476,0.548760476
06/23/17,14.00,B1,144,Shade,Red,12315809.52,6.005211294,2.349892738,2.349892738
06/23/17,14.00,B2,170,Shallow,Red,7554730.74,4.817229166,-3.196827799,-3.196827799
06/23/17,14.00,B2,183,Shade,Red,6005844.649,2.810863559,2.034936886,2.034936886
06/23/17,14.00,B3,26,Shallow,Red,1002138.07,0.847036898,-2.425297512,-2.425297512
06/23/17,14.00,B3,7,Shade,Red,3324475.604,1.832611596,2.371512191,2.371512191
06/23/17,14.00,B4,19,Shallow,Red,1064965.982,#VALUE!,#VALUE!,-1.2430065
06/23/17,14.00,B4,2,Shade,Red,2489216.491,#VALUE!,#VALUE!,2.313867716
