timepoint,colony_id,frag_id,treatment,colormorph,protein_density
06/09/17,B1,39,control,red,3984.438276
06/09/17,B1,23,deep,red,7510.346754
06/09/17,B1,174,shallow,red,2372.500629
06/09/17,B1,144,shade,red,18791.23903
06/09/17,B2,165,control,red,2866.040847
06/09/17,B2,456,deep,red,4407.012292
06/09/17,B2,170,shallow,red,10566.75303
06/09/17,B2,183,shade,red,2444.24426
06/09/17,B3,182,control,red,1422.849672
06/09/17,B3,43,deep,red,1953.289008
06/09/17,B3,26,shallow,red,1634.225462
06/09/17,B3,7,shade,red,1547.798011
06/09/17,B4,1,control,red,4300.212367
06/09/17,B4,114,deep,red,3471.390075
06/09/17,B4,19,shallow,red,1635.313384
06/09/17,B4,2,shade,red,4604.943214
06/09/17,B5,8,control,red,5383.557128
06/09/17,B5,176,deep,red,6812.57304
06/09/17,B5,198,shallow,red,3605.385347
06/09/17,B5,158,shade,red,4355.844555
06/09/17,B6,13,control,red,2100.60394
06/09/17,B6,200,deep,red,5994.345191
06/09/17,B6,166,shallow,red,2024.258351
06/09/17,B6,65,shade,red,2411.803093
06/09/17,O7,57,control,orange,2764.009067
06/09/17,O7,103,deep,orange,9106.680067
06/09/17,O7,20,shallow,orange,2837.398434
06/09/17,O7,290,shade,orange,4358.88875
06/09/17,O8,680,control,orange,5705.838811
06/09/17,O8,10,deep,orange,4145.788576
06/09/17,O8,163,shallow,orange,4234.976883
06/09/17,O8,58,shade,orange,5611.27357
06/09/17,O9,16,control,orange,3238.235693
06/09/17,O9,95,deep,orange,7638.598943
06/09/17,O9,281,shallow,orange,2973.293689
06/09/17,O9,53,shade,orange,3850.81563
06/09/17,O10,855,control,orange,2096.359368
06/09/17,O10,153,deep,orange,5787.593625
06/09/17,O10,136,shallow,orange,2396.555446
06/09/17,O10,287,shade,orange,5454.494893
06/09/17,O11,93,control,orange,1820.315286
06/09/17,O11,720,deep,orange,3543.777482
06/09/17,O11,101,shallow,orange,2413.949482
06/09/17,O11,101.1,shade,orange,3474.594599
06/09/17,O12,194,control,orange,1309.649316
06/09/17,O12,162,deep,orange,2921.362859
06/09/17,O12,164,shallow,orange,1981.631084
06/09/17,O12,215,shade,orange,1849.718646
06/09/17,O13,14,control,orange,4698.606033
06/09/17,O13,196,deep,orange,31619.36553
06/09/17,O13,154,shallow,orange,2693.122699
06/09/17,O13,202,shade,orange,7670.227638
06/23/17,B1,39,control,red,2591.438252
06/23/17,B1,23,deep,red,7536.427277
06/23/17,B1,174,shallow,red,2030.980576
06/23/17,B1,144,shade,red,6005.211294
06/23/17,B2,165,control,red,1230.342139
06/23/17,B2,456,deep,red,5250.05949
06/23/17,B2,170,shallow,red,4817.229166
06/23/17,B2,183,shade,red,2810.863559
06/23/17,B3,182,control,red,933.0794524
06/23/17,B3,43,deep,red,1150.988654
06/23/17,B3,26,shallow,red,847.0368979
06/23/17,B3,7,shade,red,1832.611596
06/23/17,B5,8,control,red,14637.42231
06/23/17,B5,176,deep,red,1719.068456
06/23/17,B5,198,shallow,red,3203.532366
06/23/17,B5,158,shade,red,4303.598171
06/23/17,O9,16,control,orange,3566.891743
06/23/17,O9,95,deep,orange,3286.920996
06/23/17,O9,281,shallow,orange,2087.098307
06/23/17,O9,53,shade,orange,2810.516239
06/23/17,O10,855,control,orange,2385.356155
