timepoint,colony_id,frag_id,treatment,colormorph,protein_density
06/09/17,B1,39,Control,Red,3984.438276
06/09/17,B1,39,Control,Red,7510.346754
06/09/17,B1,39,Control,Red,2372.500629
06/09/17,B1,23,Deep,Red,18791.23903
06/09/17,B1,23,Deep,Red,2866.040847
06/09/17,B1,23,Deep,Red,4407.012292
06/09/17,B1,174,Shallow,Red,10566.75303
06/09/17,B1,174,Shallow,Red,2444.24426
06/09/17,B1,174,Shallow,Red,1422.849672
06/09/17,B1,144,Shade,Red,1953.289008
06/09/17,B1,144,Shade,Red,1634.225462
06/09/17,B1,144,Shade,Red,1547.798011
06/09/17,B2,165,Control,Red,4300.212367
06/09/17,B2,165,Control,Red,3471.390075
06/09/17,B2,165,Control,Red,1635.313384
06/09/17,B2,456,Deep,Red,4604.943214
06/09/17,B2,456,Deep,Red,5383.557128
06/09/17,B2,456,Deep,Red,6812.57304
06/09/17,B2,170,Shallow,Red,3605.385347
06/09/17,B2,170,Shallow,Red,4355.844555
06/09/17,B2,170,Shallow,Red,2100.60394
06/09/17,B2,183,Shade,Red,5994.345191
06/09/17,B2,183,Shade,Red,2024.258351
06/09/17,B2,183,Shade,Red,2411.803093
06/09/17,B3,182,Control,Red,2764.009067
06/09/17,B3,182,Control,Red,9106.680067
06/09/17,B3,182,Control,Red,2837.398434
06/09/17,B3,43,Deep,Red,4358.88875
06/09/17,B3,43,Deep,Red,5705.838811
06/09/17,B3,43,Deep,Red,4145.788576
06/09/17,B3,26,Shallow,Red,4234.976883
06/09/17,B3,26,Shallow,Red,5611.27357
06/09/17,B3,26,Shallow,Red,3238.235693
06/09/17,B3,7,Shade,Red,7638.598943
06/09/17,B3,7,Shade,Red,2973.293689
06/09/17,B3,7,Shade,Red,3850.81563
06/09/17,B4,1,Control,Red,2096.359368
06/09/17,B4,1,Control,Red,5787.593625
06/09/17,B4,1,Control,Red,2396.555446
06/09/17,B4,114,Deep,Red,5454.494893
06/09/17,B4,114,Deep,Red,1820.315286
06/09/17,B4,114,Deep,Red,3543.777482
06/09/17,B4,19,Shallow,Red,2413.949482
06/09/17,B4,19,Shallow,Red,3474.594599
06/09/17,B4,19,Shallow,Red,1309.649316
06/09/17,B4,2,Shade,Red,2921.362859
06/09/17,B4,2,Shade,Red,1981.631084
06/09/17,B4,2,Shade,Red,1849.718646
06/09/17,B5,8,Control,Red,4698.606033
06/09/17,B5,8,Control,Red,31619.36553
06/09/17,B5,8,Control,Red,2693.122699
