timepoint,colony.id,frag.id,treatment,colormorph,sym.density,,,,,,,,,,,,,,,,,,,
06/09/17,B1,39,control,red,9307520.4765,,,,,,,,,,,,,,,,,,,
06/09/17,B1,23,deep,red,17543930.0007,,,,,,,,,,,,,,,,,,,
06/09/17,B1,174,shallow,red,5542085.6483,,,,,,,,,,,,,,,,,,,
06/09/17,B1,144,shade,red,43895733.8363,,,,,,,,,,,,,,,,,,,
06/09/17,B2,165,control,red,3756536.4290,,,,,,,,,,,,,,,,,,,
06/09/17,B2,456,deep,red,5776296.6761,,,,,,,,,,,,,,,,,,,
06/09/17,B2,170,shallow,red,13849904.7307,,,,,,,,,,,,,,,,,,,
06/09/17,B2,183,shade,red,3203685.1858,,,,,,,,,,,,,,,,,,,
06/09/17,B3,182,control,red,3562706.9441,,,,,,,,,,,,,,,,,,,
06/09/17,B3,43,deep,red,4890886.5423,,,,,,,,,,,,,,,,,,,
06/09/17,B3,26,shallow,red,4091975.7834,,,,,,,,,,,,,,,,,,,
06/09/17,B3,7,shade,red,3875568.0455,,,,,,,,,,,,,,,,,,,
06/09/17,B4,1,control,red,5073156.9238,,,,,,,,,,,,,,,,,,,
06/09/17,B4,114,deep,red,4095357.4130,,,,,,,,,,,,,,,,,,,
06/09/17,B4,19,shallow,red,1929253.8857,,,,,,,,,,,,,,,,,,,
06/09/17,B4,2,shade,red,5432661.8214,,,,,,,,,,,,,,,,,,,
06/09/17,B5,8,control,red,8140498.4359,,,,,,,,,,,,,,,,,,,
06/09/17,B5,176,deep,red,10301319.1561,,,,,,,,,,,,,,,,,,,
06/09/17,B5,198,shallow,red,5451717.7177,,,,,,,,,,,,,,,,,,,
06/09/17,B5,158,shade,red,6586490.1106,,,,,,,,,,,,,,,,,,,
06/09/17,B6,13,control,red,1146635.1688,,,,,,,,,,,,,,,,,,,
06/09/17,B6,200,deep,red,3272071.8456,,,,,,,,,,,,,,,,,,,
06/09/17,B6,166,shallow,red,1104961.1841,,,,,,,,,,,,,,,,,,,
06/09/17,B6,65,shade,red,1316506.2648,,,,,,,,,,,,,,,,,,,
06/09/17,O7,57,control,orange,2018656.9281,,,,,,,,,,,,,,,,,,,
06/09/17,O7,103,deep,orange,6650941.5723,,,,,,,,,,,,,,,,,,,
06/09/17,O7,20,shallow,orange,2072255.8674,,,,,,,,,,,,,,,,,,,
06/09/17,O7,290,shade,orange,3183455.9005,,,,,,,,,,,,,,,,,,,
06/09/17,O8,680,control,orange,11245340.4299,,,,,,,,,,,,,,,,,,,
06/09/17,O8,10,deep,orange,8170718.7033,,,,,,,,,,,,,,,,,,,
06/09/17,O8,163,shallow,orange,8346495.2889,,,,,,,,,,,,,,,,,,,
06/09/17,O8,58,shade,orange,11058966.7233,,,,,,,,,,,,,,,,,,,
06/09/17,O9,16,control,orange,7711786.7597,,,,,,,,,,,,,,,,,,,
