timepoint,colony_id,frag_id,treatment,colormorph,sym_density
06/09/17,B1,39,control,red,9307520.477
06/09/17,B1,174,shallow,red,5542085.648
06/09/17,B2,165,control,red,3756536.429
06/09/17,B2,456,deep,red,5776296.676
06/09/17,B2,183,shade,red,3203685.186
06/09/17,B3,182,control,red,3562706.944
06/09/17,B3,43,deep,red,4890886.542
06/09/17,B3,26,shallow,red,4091975.783
06/09/17,B3,7,shade,red,3875568.045
06/09/17,B4,1,control,red,5073156.924
06/09/17,B4,114,deep,red,4095357.413
06/09/17,B4,19,shallow,red,1929253.886
06/09/17,B4,2,shade,red,5432661.821
06/09/17,B5,8,control,red,8140498.436
06/09/17,B5,176,deep,red,10301319.16
06/09/17,B5,198,shallow,red,5451717.718
06/09/17,B5,158,shade,red,6586490.111
06/09/17,B6,13,control,red,1146635.169
06/09/17,B6,200,deep,red,3272071.846
06/09/17,B6,166,shallow,red,1104961.184
06/09/17,B6,65,shade,red,1316506.265
06/09/17,O7,57,control,orange,2018656.928
06/09/17,O7,103,deep,orange,6650941.572
06/09/17,O7,20,shallow,orange,2072255.867
06/09/17,O7,290,shade,orange,3183455.9
06/09/17,O8,680,control,orange,11245340.43
06/09/17,O8,10,deep,orange,8170718.703
06/09/17,O8,163,shallow,orange,8346495.289
06/09/17,O8,58,shade,orange,11058966.72
06/09/17,O9,16,control,orange,7711786.76
06/09/17,O9,281,shallow,orange,7080833.23
06/09/17,O9,53,shade,orange,9170632.346
06/09/17,O10,855,control,orange,3684161.124
06/09/17,O10,153,deep,orange,10171169.96
06/09/17,O10,136,shallow,orange,4211728.457
06/09/17,O10,287,shade,orange,9585779.204
06/09/17,O11,93,control,orange,2907915.788
06/09/17,O11,720,deep,orange,5661110.781
06/09/17,O11,101,shallow,orange,3856234.062
06/09/17,O11,101.1,shade,orange,5550592.565
06/09/17,O12,194,control,orange,3050663.959
06/09/17,O12,162,deep,orange,6804948.681
06/09/17,O12,164,shallow,orange,4615961.277
06/09/17,O12,215,shade,orange,4308687.783
06/09/17,O13,14,control,orange,14095156.83
06/09/17,O13,154,shallow,orange,8078989.078
